tone_name,R,G,B,R_A,G_A,B_A
deep_golden,163,81,36,0.6392156863,0.3176470588,0.1411764706
deepest_red,107,44,13,0.4196078431,0.1725490196,0.05098039216
deeprich_neutralgold,215,116,55,0.8431372549,0.4549019608,0.2156862745
deeptan_pink,225,138,90,0.8823529412,0.5411764706,0.3529411765
fairlight_neutral,241,194,165,0.9450980392,0.7607843137,0.6470588235
light_golden,255,191,153,1,0.7490196078,0.6
lightmedium_neutral,255,195,152,1,0.7647058824,0.5960784314
medium_golden,254,180,134,0.9960784314,0.7058823529,0.5254901961
rich_pink,215,132,77,0.8431372549,0.5176470588,0.3019607843
tan_neutral,247,167,117,0.968627451,0.6549019608,0.4588235294
