Image Path,Cluster,Representative,Representative_R,Representative_G,Representative_B,Cluster_R,Cluster_G,Cluster_B
data/lfw-deepfunneled/Mark_Komara/Mark_Komara_0001.jpg,0,0,161.0,102.0,72.0,161.31711290322582,103.51801075268817,73.28622043010753
data/lfw-deepfunneled/Peter_Gabriel/Peter_Gabriel_0001.jpg,0,1,162.0,104.0,72.0,161.31711290322582,103.51801075268817,73.28622043010753
data/lfw-deepfunneled/Octavio_Lara/Octavio_Lara_0001.jpg,0,2,160.0,102.0,71.0,161.31711290322582,103.51801075268817,73.28622043010753
data/lfw-deepfunneled/Miguel_Hakim/Miguel_Hakim_0001.jpg,0,3,159.0,104.0,74.0,161.31711290322582,103.51801075268817,73.28622043010753
data/lfw-deepfunneled/Elodie_Bouchez/Elodie_Bouchez_0001.jpg,1,0,212.0,177.0,159.0,213.9331919642857,176.9741294642857,159.4446875
data/lfw-deepfunneled/Brian_Pavlich/Brian_Pavlich_0001.jpg,1,1,212.0,177.0,161.0,213.9331919642857,176.9741294642857,159.4446875
cropped_faces/cropped_hejia_li.jpg,1,2,214.0,175.0,157.0,213.9331919642857,176.9741294642857,159.4446875
cropped_faces/cropped_lulu_tenney.jpg,1,3,216.0,177.0,159.0,213.9331919642857,176.9741294642857,159.4446875
data/lfw-deepfunneled/Pat_Rochester/Pat_Rochester_0001.jpg,2,0,129.0,90.0,67.0,129.307435770751,89.017168972332,68.28332509881423
data/lfw-deepfunneled/Jelena_Dokic/Jelena_Dokic_0004.jpg,2,1,130.0,90.0,67.0,129.307435770751,89.017168972332,68.28332509881423
data/lfw-deepfunneled/Mike_Miller/Mike_Miller_0001.jpg,2,2,131.0,89.0,68.0,129.307435770751,89.017168972332,68.28332509881423
data/lfw-deepfunneled/Richard_Pennington/Richard_Pennington_0001.jpg,2,3,129.0,86.0,67.0,129.307435770751,89.017168972332,68.28332509881423
data/lfw-deepfunneled/Harvey_Fierstein/Harvey_Fierstein_0001.jpg,3,0,173.0,134.0,119.0,174.17122188905546,135.07706146926537,119.15744377811095
data/lfw-deepfunneled/Jim_Wong/Jim_Wong_0001.jpg,3,1,172.0,134.0,118.0,174.17122188905546,135.07706146926537,119.15744377811095
data/lfw-deepfunneled/Satnarine_Sharma/Satnarine_Sharma_0001.jpg,3,2,172.0,133.0,117.0,174.17122188905546,135.07706146926537,119.15744377811095
data/lfw-deepfunneled/Thomas_Daily/Thomas_Daily_0001.jpg,3,3,175.0,134.0,117.0,174.17122188905546,135.07706146926537,119.15744377811095
data/lfw-deepfunneled/Brian_Lara/Brian_Lara_0001.jpg,4,0,103.0,67.0,48.0,105.06036069651742,69.03587064676617,49.67777363184079
data/lfw-deepfunneled/John_Burkett/John_Burkett_0001.jpg,4,1,107.0,69.0,48.0,105.06036069651742,69.03587064676617,49.67777363184079
data/lfw-deepfunneled/Barbara_De_Brun/Barbara_De_Brun_0001.jpg,4,2,101.0,70.0,48.0,105.06036069651742,69.03587064676617,49.67777363184079
data/lfw-deepfunneled/Tina_Pisnik/Tina_Pisnik_0001.jpg,4,3,108.0,65.0,49.0,105.06036069651742,69.03587064676617,49.67777363184079
data/lfw-deepfunneled/Louisa_Baileche/Louisa_Baileche_0001.jpg,5,0,159.0,119.0,101.0,159.52839932885905,119.08595973154362,101.19305704697986
data/lfw-deepfunneled/Brad_Russ/Brad_Russ_0001.jpg,5,1,160.0,119.0,99.0,159.52839932885905,119.08595973154362,101.19305704697986
data/lfw-deepfunneled/Blas_Ople/Blas_Ople_0001.jpg,5,2,158.0,120.0,100.0,159.52839932885905,119.08595973154362,101.19305704697986
data/lfw-deepfunneled/Francisco_Maturana/Francisco_Maturana_0001.jpg,5,3,159.0,120.0,102.0,159.52839932885905,119.08595973154362,101.19305704697986
data/lfw-deepfunneled/Romano_Prodi/Romano_Prodi_0001.jpg,6,0,142.0,106.0,89.0,141.84265541740675,104.63983570159857,88.54949822380107
data/lfw-deepfunneled/Daniel_Ortega/Daniel_Ortega_0001.jpg,6,1,144.0,104.0,88.0,141.84265541740675,104.63983570159857,88.54949822380107
