tone_name,R,G,B
deep_golden,163,81,36
deep_netural,139,69,23
deep_red,139,75,40
deep_rich_goldenred,196,99,44
deep_rich_netural,160,75,9
deep_rich_netural_gold,215,116,55
deep_rich_neturalred,179,85,21
deep_tan_cool,225,138,86
deep_tan_goldenred,246,142,82
deep_tan_olive,222,140,81
deep_tan_pink,225,138,90
deepest_goldenred,127,57,34
deepest_neutral,84,36,24
deepest_red,107,44,13
fair_light_neutral,241,194,165
fair_light_peach,255,203,163
fair_light_pink,255,201,172
light_golden,255,191,153
light_medium_neutral,255,195,152
light_medium_gold,255,194,150
light_neutral,255,190,144
light_pink,251,189,154
medium_golden,254,180,134
medium_neutral,241,171,126
medium_neutral_tan,252,179,126
medium_olive_tan,229,162,96
medium_peach,253,184,135
medium_pink,239,170,137
rich_golden,224,124,51
rich_netural,209,112,51
rich_pink,215,132,77
tan_golden,237,155,96
tan_neutral,247,167,117
tan_neutralgold,250,159,102
tan_olive,242,164,90
